2025-05-26T20:36:16.024Z [INFO] [USER] User Module - Action: VIEW on CustomUser | Details: Viewing custom users 
2025-05-26T20:40:19.612Z [INFO] [USER] User Module - Action: VIEW on CustomUser | Details: Viewing custom users 
2025-05-26T20:40:34.185Z [INFO] [USER] User Module - Action: VIEW on CustomUser | Details: Viewing custom users 
2025-05-26T20:50:48.146Z [INFO] [USER] User Module - Action: VIEW on CustomUser | Details: Viewing custom users 
2025-05-26T20:50:51.708Z [DEBUG] [RISK] Risk Module - Action: VIEW on RiskReview | Details: Viewing reviewer tasks for user 1 [Risk viewed or clicked] 
2025-05-26T20:50:51.717Z [DEBUG] [RISK] Risk Module - Action: VIEW on RiskInstance | Details: Viewing risks assigned to user 1 [Risk viewed or clicked] 
2025-05-26T20:50:51.751Z [ERROR] [RISK] Risk Module - Action: VIEW on RiskInstance | Details: Error viewing user risks: 'datetime.date' object has no attribute 'utcoffset' 
2025-05-26T20:50:57.350Z [DEBUG] [RISK] Risk Module - Action: VIEW on RiskReview | Details: Viewing reviewer tasks for user 3 [Risk viewed or clicked] 
2025-05-26T20:50:57.351Z [DEBUG] [RISK] Risk Module - Action: VIEW on RiskInstance | Details: Viewing risks assigned to user 3 [Risk viewed or clicked] 
2025-05-26T20:51:17.388Z [INFO] [INCIDENT] Incident Module - Action: LIST on Incident | Details: Viewing all incidents 
2025-05-26T20:51:19.205Z [INFO] [USER] User Module - Action: VIEW on CustomUser | Details: Viewing custom users 
2025-05-26T20:51:24.000Z [INFO] [USER] User Module - Action: VIEW on CustomUser | Details: Viewing custom users 
2025-05-26T20:56:37.563Z [INFO] [USER] User Module - Action: VIEW on CustomUser | Details: Viewing custom users 
2025-05-26T20:56:38.989Z [DEBUG] [RISK] Risk Module - Action: VIEW on RiskInstance | Details: Viewing risks assigned to user 2 [Risk viewed or clicked] 
2025-05-26T20:56:39.083Z [DEBUG] [RISK] Risk Module - Action: VIEW on RiskReview | Details: Viewing reviewer tasks for user 2 [Risk viewed or clicked] 
2025-05-26T20:57:54.564Z [INFO] [USER] User Module - Action: VIEW on CustomUser | Details: Viewing custom users 
2025-05-26T21:31:18.911Z [INFO] [USER] User Module - Action: VIEW on CustomUser | Details: Viewing custom users 
2025-05-26T21:31:26.279Z [DEBUG] [RISK] Risk Module - Action: VIEW on RiskReview | Details: Viewing reviewer tasks for user 1 [Risk viewed or clicked] 
2025-05-26T21:31:26.285Z [DEBUG] [RISK] Risk Module - Action: VIEW on RiskInstance | Details: Viewing risks assigned to user 1 [Risk viewed or clicked] 
2025-05-26T21:31:28.975Z [INFO] [USER] User Module - Action: VIEW on CustomUser | Details: Viewing custom users 
2025-05-26T21:31:54.100Z [INFO] [USER] User Module - Action: VIEW on CustomUser | Details: Viewing custom users 
2025-05-26T21:31:57.010Z [INFO] [INCIDENT] Incident Module - Action: LIST on Incident | Details: Viewing all incidents 
2025-05-26T21:32:38.303Z [INFO] [USER] User Module - Action: VIEW on CustomUser | Details: Viewing custom users 
2025-05-26T21:32:39.352Z [INFO] [INCIDENT] Incident Module - Action: LIST on Incident | Details: Viewing all incidents 
2025-05-26T21:32:40.461Z [INFO] [USER] User Module - Action: VIEW on CustomUser | Details: Viewing custom users 
2025-05-26T21:32:55.152Z [INFO] [USER] User Module - Action: VIEW on CustomUser | Details: Viewing custom users 
2025-05-26T21:32:57.031Z [INFO] [USER] User Module - Action: VIEW on CustomUser | Details: Viewing custom users 
2025-05-27T01:33:22.835Z [INFO] [USER] User Module - Action: VIEW on CustomUser | Details: Viewing custom users 
2025-05-27T01:33:28.641Z [INFO] [USER] User Module - Action: VIEW on CustomUser | Details: Viewing custom users 
2025-05-27T01:33:30.504Z [INFO] [USER] User Module - Action: VIEW on CustomUser | Details: Viewing custom users 
2025-05-27T01:33:32.760Z [INFO] [INCIDENT] Incident Module - Action: LIST on Incident | Details: Viewing all incidents 
2025-05-27T01:33:54.534Z [INFO] [USER] User Module - Action: VIEW on CustomUser | Details: Viewing custom users 
2025-05-27T01:34:11.301Z [INFO] [INCIDENT] Incident Module - Action: LIST on Incident | Details: Viewing all incidents 
2025-05-27T01:34:16.700Z [INFO] [INCIDENT] Incident Module - Action: VIEW on Incident | Details: Viewing incident 14 
2025-05-27T01:34:16.741Z [INFO] [RISK] Risk Module - Action: LIST on Risk | Details: Viewing all risks 
2025-05-27T01:34:33.019Z [INFO] [INCIDENT] Incident Module - Action: LIST on Incident | Details: Viewing all incidents 
2025-05-27T01:34:38.099Z [INFO] [INCIDENT] Incident Module - Action: VIEW on Incident | Details: Viewing incident 14 
2025-05-27T01:34:38.143Z [INFO] [RISK] Risk Module - Action: LIST on Risk | Details: Viewing all risks 
